Genus,Family,C_value,tavg,perc_ag,perc_per,HybProp,Hyb_Ratio
Phyllota,Fabaceae,0.94,0.7295,0.096494845,1.0,0.0,0.0
Physalis,Solanaceae,1.687142857,0.7295,0.089837398,0.627906977,0.0,0.0
Physaria,Brassicaceae,1.315,0.7295,0.00485306,0.96969697,0.378787879,0.060606061
Physocarpus,Rosaceae,0.263333333,0.7295,0.001060071,1.0,0.0,0.0
Physospermum,Apiaceae,1.687142857,0.7295,0.003968254,1.0,0.0,0.0
Physostegia,Lamiaceae,1.687142857,0.7295,0.004320557,1.0,33.33333333,0.333333333
Phyteuma,Campanulaceae,1.145,0.7295,0.0,1.0,0.0,0.0
Phytolacca,Phytolaccaceae,1.85,0.7295,0.0,1.0,0.0,0.0
Picea,Pinaceae,16.9924,0.809863636,0.004761905,1.0,0.0,0.0
Picradeniopsis,Asteraceae,1.687142857,0.7295,0.00210989,1.0,0.0,0.0
Picris,Asteraceae,1.58,0.7295,0.00210989,0.323529412,0.0,0.0
Pilea,Urticaceae,1.687142857,0.7295,0.0,0.25,0.0,0.0
Pilosella,Asteraceae,4.241276596,0.7295,0.00210989,1.0,20.0,0.5
Pilularia,Marsileaceae,1.687142857,0.7295,0.0,1.0,0.0,0.0
Pimelea,Thymelaeaceae,3.73,0.7295,0.001324503,0.916666667,0.0,0.0
Pimpinella,Apiaceae,3.475,0.7295,0.003968254,0.785714286,0.0,0.0
Pinellia,Araceae,2.37,0.7295,0.000248447,1.0,0.0,0.0
Pinguicula,Lentibulariaceae,0.654,0.7295,0.0,1.0,2.5,0.1875
Pinus,Pinaceae,24.77841155,0.888,0.004761905,1.0,0.216216216,0.08
Piperia,Orchidaceae,1.687142857,0.7295,0.0,1.0,0.0,0.0
Piptatherum,Poaceae,1.687142857,0.7295,0.074314214,1.0,0.0,0.0
Pipturus,Urticaceae,1.687142857,0.7295,0.0,1.0,0.0,0.0
Pisonia,Nyctaginaceae,1.687142857,0.7295,0.005063291,1.0,0.0,0.0
Pistacia,Anacardiaceae,0.616666667,0.7295,0.002030457,1.0,16.66666667,0.25
Pistia,Araceae,0.295,0.7295,0.000248447,1.0,0.0,0.0
Pistorinia,Crassulaceae,1.687142857,0.7295,0.0,0.0,0.0,0.0
Pittosporum,Pittosporaceae,0.535,0.7295,0.005,1.0,2.333333333,0.28
Pityrogramma,Pteridaceae,1.687142857,0.7295,0.0,1.0,100.0,0.5
Plagiobothrys,Boraginaceae,1.687142857,0.7295,0.001824818,0.057692308,0.0,0.0
Plantago,Plantaginaceae,1.101212121,0.576,0.005925926,0.595284872,0.131967086,0.074561404
Platanthera,Orchidaceae,8.895,0.7295,0.0,1.0,1.333333333,0.16
Platycapnos,Papaveraceae,1.687142857,0.7295,0.0,0.0,0.0,0.0
Platycerium,Polypodiaceae,1.687142857,0.7295,0.0,1.0,0.0,0.0
Platydesma,Rutaceae,1.687142857,0.7295,0.001652893,1.0,0.0,0.0
Platylobium,Fabaceae,1.687142857,0.7295,0.096494845,1.0,0.0,0.0
Platysace,Apiaceae,1.687142857,0.7295,0.003968254,1.0,0.0,0.0
Plectranthus,Lamiaceae,1.73,0.7295,0.004320557,1.0,0.0,0.0
Pleioblastus,Poaceae,1.687142857,0.7295,0.074314214,1.0,0.0,0.0
Pleomele,Asparagaceae,1.687142857,0.7295,0.0,1.0,0.0,0.0
Pleuraphis,Poaceae,1.687142857,0.7295,0.074314214,1.0,0.0,0.0
Pleuropogon,Poaceae,1.687142857,0.7295,0.074314214,0.166666667,0.0,0.0
Pleurospermum,Apiaceae,1.687142857,0.7295,0.003968254,0.5,0.0,0.0
Pluchea,Asteraceae,1.687142857,0.7295,0.00210989,0.6,2.222222222,0.1
Pneumatopteris,Thelypteridaceae,1.687142857,0.7295,0.0,1.0,0.0,0.0
Poa,Poaceae,3.399130435,0.7295,0.074314214,0.9,0.116245278,0.107526882
Podolepis,Asteraceae,1.687142857,0.7295,0.00210989,0.666666667,0.0,0.0
Podolobium,Fabaceae,1.687142857,0.7295,0.096494845,1.0,0.0,0.0
Pogogyne,Lamiaceae,1.687142857,0.7295,0.004320557,0.0,0.0,0.0
Polanisia,Cleomaceae,1.687142857,0.7295,0.006666667,0.0,0.0,0.0
Polemonium,Polemoniaceae,1.687142857,0.7295,0.0,0.916666667,0.0,0.0
Polycarpon,Caryophyllaceae,1.687142857,0.7295,0.001818182,0.25,0.0,0.0
Polycnemum,Amaranthaceae,1.687142857,0.7295,0.041463415,0.0,0.0,0.0
Polyctenium,Brassicaceae,1.687142857,0.7295,0.00485306,1.0,0.0,0.0
Polygala,Polygalaceae,0.671111111,0.7295,0.001913876,0.892857143,0.090456807,0.029850746
Polygonatum,Asparagaceae,12.98875,0.7295,0.0,1.0,3.636363636,0.181818182
Polygonum,Polygonaceae,0.72,0.7295,0.002727273,0.33984375,0.02920774,0.024096386
Polymnia,Asteraceae,1.687142857,0.7295,0.00210989,1.0,0.0,0.0
Polypodium,Polypodiaceae,14.15444444,0.7295,0.0,1.0,6.666666667,0.5
Polypogon,Poaceae,1.687142857,0.7295,0.074314214,0.526315789,1.960784314,0.166666667
Polyscias,Araliaceae,1.687142857,0.7295,0.0,1.0,0.0,0.0
Polystichum,Dryopteridaceae,7.75,0.7295,0.0,1.0,4.666666667,0.56
Pomaderris,Rhamnaceae,1.687142857,0.7295,0.004444444,1.0,0.168067227,0.028571429
Populus,Salicaceae,0.488333333,0.7295,0.0,1.0,2.43902439,0.5
Poranthera,Phyllanthaceae,1.687142857,0.7295,0.002292264,0.5,0.0,0.0
Porophyllum,Asteraceae,1.687142857,0.7295,0.00210989,1.0,0.0,0.0
Portulaca,Portulacaceae,1.68,0.7295,0.007594937,0.333333333,0.0,0.0
Potamogeton,Potamogetonaceae,0.53,0.7295,0.0,1.0,0.610483042,0.424285714
Potentilla,Rosaceae,0.982857143,0.7295,0.001060071,0.924447865,0.163203816,0.145251397
Prasophyllum,Orchidaceae,1.687142857,0.7295,0.0,1.0,0.229885057,0.033333333
Pratia,Campanulaceae,1.687142857,0.7295,0.0,1.0,0.0,0.0
Prenanthes,Asteraceae,1.687142857,0.7295,0.00210989,1.0,2.222222222,0.1
Primula,Primulaceae,0.508,0.852,0.0,1.0,0.784313725,0.196078431
Pritchardia,Arecaceae,1.687142857,0.7295,0.0005,1.0,0.0,0.0
Proboscidea,Martyniaceae,0.49,0.7295,0.0,0.25,0.0,0.0
Procopiania,Boraginaceae,1.687142857,0.7295,0.001824818,1.0,0.0,0.0
Proserpinaca,Haloragaceae,1.687142857,0.7295,0.0,1.0,100.0,0.5
Prosopis,Fabaceae,0.663076923,0.845857143,0.096494845,1.0,3.571428571,0.125
Prostanthera,Lamiaceae,1.687142857,0.7295,0.004320557,1.0,2.339181287,0.210526316
Prunella,Lamiaceae,0.65,0.7295,0.004320557,1.0,2.222222222,0.1
Prunus,Rosaceae,0.733225806,0.803,0.001060071,1.0,0.240891298,0.097560976
Psathyrotes,Asteraceae,1.687142857,0.7295,0.00210989,0.2,0.0,0.0
Pseudanthus,Picrodendraceae,1.687142857,0.7295,0.0,1.0,0.0,0.0
Pseudarrhenatherum,Poaceae,1.687142857,0.7295,0.074314214,1.0,0.0,0.0
Pseudobahia,Asteraceae,1.687142857,0.7295,0.00210989,0.0,0.0,0.0
Pseudofumaria,Papaveraceae,0.63,0.7295,0.0,1.0,0.0,0.0
Pseudoraphis,Poaceae,1.687142857,0.7295,0.074314214,0.75,0.0,0.0
Pseudorchis,Orchidaceae,1.687142857,0.7295,0.0,1.0,0.0,0.0
Pseudorlaya,Apiaceae,1.687142857,0.7295,0.003968254,0.0,0.0,0.0
Pseudotsuga,Pinaceae,18.325,0.925,0.004761905,1.0,0.0,0.0
Psidium,Myrtaceae,0.47,0.7295,0.003243243,1.0,0.0,0.0
Psilocarphus,Asteraceae,1.687142857,0.7295,0.00210989,0.0,0.0,0.0
Psilostrophe,Asteraceae,1.687142857,0.7295,0.00210989,0.666666667,0.0,0.0
Psilotum,Psilotaceae,72.68,0.7295,0.0,1.0,100.0,0.5
Psoralea,Fabaceae,1.687142857,0.7295,0.096494845,1.0,0.0,0.0
Psoralidium,Fabaceae,1.687142857,0.7295,0.096494845,1.0,0.0,0.0
Psorothamnus,Fabaceae,1.687142857,0.7295,0.096494845,1.0,0.0,0.0
Psychotria,Rubiaceae,1.687142857,0.7185,0.0006,1.0,7.272727273,0.363636364
Pteralyxia,Apocynaceae,1.687142857,0.7295,0.000658617,1.0,0.0,0.0
Pteris,Pteridaceae,1.687142857,0.7295,0.0,1.0,0.0,0.0
Pterocephalus,Caprifoliaceae,1.71,0.7295,0.0,0.5,0.0,0.0
Pterostylis,Orchidaceae,1.687142857,0.7295,0.0,1.0,0.226244344,0.057692308
Ptilostemon,Asteraceae,1.687142857,0.7295,0.00210989,0.777777778,0.0,0.0
Ptilotrichum,Brassicaceae,1.445,0.7295,0.00485306,1.0,0.0,0.0
Ptilotus,Amaranthaceae,3.35,0.7295,0.041463415,1.0,0.0,0.0
Puccinellia,Poaceae,3.556666667,0.7295,0.074314214,0.798882682,0.522648084,0.107142857
Pulicaria,Asteraceae,1.687142857,0.7295,0.00210989,0.428571429,0.0,0.0
Pulmonaria,Boraginaceae,1.745,0.7295,0.001824818,1.0,0.584795322,0.052631579
Pulsatilla,Ranunculaceae,8.825,0.7295,0.0,1.0,0.0,0.0
Pultenaea,Fabaceae,1.65,0.7295,0.096494845,1.0,0.340136054,0.081632653
Purshia,Rosaceae,1.687142857,0.7295,0.001060071,1.0,33.33333333,0.5
